year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,12,AA,American Airlines Network,DEN,"Denver, CO: Denver International",672.00,222.00,66.78,11.07,52.81,1.63,89.71,9.00,0.00,14692.00,3816.00,1280.00,1897.00,55.00,7644.00
2022,12,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",158.00,64.00,10.54,7.40,26.72,0.00,19.34,17.00,0.00,3037.00,515.00,346.00,1295.00,0.00,881.00
2022,12,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",146.00,71.00,23.96,0.00,34.46,0.00,12.58,3.00,0.00,4690.00,2242.00,0.00,1321.00,0.00,1127.00
2022,12,C5,CommuteAir LLC dba CommuteAir,DEN,"Denver, CO: Denver International",676.00,155.00,38.38,5.52,50.24,0.00,60.86,38.00,0.00,13052.00,3874.00,394.00,2349.00,0.00,6435.00
2022,12,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",982.00,304.00,109.23,14.39,111.61,0.77,67.99,25.00,1.00,17687.00,6654.00,1604.00,4909.00,55.00,4465.00
2022,12,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",1779.00,630.00,199.86,11.06,195.96,0.00,223.12,96.00,0.00,48056.00,15493.00,2280.00,10441.00,0.00,19842.00
2022,12,G4,Allegiant Air,DEN,"Denver, CO: Denver International",34.00,10.00,3.51,0.00,1.33,0.00,5.16,4.00,0.00,619.00,288.00,0.00,42.00,0.00,289.00
2022,12,NK,Spirit Airlines,DEN,"Denver, CO: Denver International",216.00,65.00,19.53,3.64,30.45,1.29,10.09,11.00,0.00,3492.00,1170.00,191.00,1543.00,68.00,520.00
2022,12,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",4307.00,1081.00,557.00,118.00,32.00,3.00,371.00,341.00,6.00,104744.00,47739.00,15500.00,5138.00,130.00,36237.00
2022,12,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",7148.00,1724.00,547.35,43.50,475.74,0.00,657.41,203.00,7.00,158217.00,50546.00,5620.00,28350.00,0.00,73701.00
