year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,12,AA,American Airlines Network,DEN,"Denver, CO: Denver International",862.00,183.00,69.37,1.04,55.19,0.81,56.58,1.00,0.00,10876.00,4552.00,67.00,2289.00,63.00,3905.00
2019,12,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",164.00,52.00,19.83,0.08,19.25,0.00,12.84,2.00,0.00,2619.00,1105.00,2.00,803.00,0.00,709.00
2019,12,AX,Trans States Airlines,DEN,"Denver, CO: Denver International",2302.00,439.00,107.46,27.02,130.54,0.00,173.98,43.00,5.00,46375.00,11432.00,3208.00,7396.00,0.00,24339.00
2019,12,B6,JetBlue Airways,DEN,"Denver, CO: Denver International",84.00,27.00,9.89,0.66,9.77,0.00,6.68,0.00,0.00,2008.00,730.00,156.00,523.00,0.00,599.00
2019,12,CP,Compass Airlines,DEN,"Denver, CO: Denver International",67.00,6.00,0.06,0.00,3.50,0.00,2.44,0.00,0.00,226.00,2.00,0.00,163.00,0.00,61.00
2019,12,DL,Delta Air Lines Network,DEN,"Denver, CO: Denver International",1016.00,172.00,60.72,5.15,67.35,0.00,38.78,0.00,0.00,9757.00,3386.00,768.00,2721.00,0.00,2882.00
2019,12,F9,Frontier Airlines,DEN,"Denver, CO: Denver International",1666.00,271.00,86.37,3.94,63.86,0.00,116.83,17.00,0.00,19434.00,5719.00,391.00,3103.00,0.00,10221.00
2019,12,G4,Allegiant Air,DEN,"Denver, CO: Denver International",8.00,6.00,0.84,0.00,4.29,0.00,0.88,0.00,0.00,224.00,51.00,0.00,94.00,0.00,79.00
2019,12,G7,GoJet Airlines LLC d/b/a United Express,DEN,"Denver, CO: Denver International",135.00,34.00,8.48,0.00,10.72,0.00,14.80,3.00,0.00,2442.00,597.00,0.00,437.00,0.00,1408.00
2019,12,NK,Spirit Airlines,DEN,"Denver, CO: Denver International",320.00,69.00,16.91,0.85,35.53,0.00,15.71,2.00,0.00,4773.00,1633.00,153.00,1833.00,0.00,1154.00
2019,12,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",4557.00,802.00,198.41,27.16,213.11,2.63,360.70,138.00,11.00,84051.00,35539.00,3932.00,10541.00,80.00,33959.00
2019,12,UA,United Air Lines Network,DEN,"Denver, CO: Denver International",5788.00,842.00,207.32,32.84,319.84,0.00,282.00,5.00,1.00,55887.00,15476.00,1785.00,12813.00,0.00,25813.00
