year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,12,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",114.00,29.00,4.77,1.00,8.20,0.00,15.03,4.00,0.00,1584.00,300.00,20.00,347.00,0.00,917.00
2019,12,AA,American Airlines Network,MCI,"Kansas City, MO: Kansas City International",348.00,68.00,37.97,0.39,6.70,0.00,22.95,0.00,0.00,3766.00,1772.00,22.00,259.00,0.00,1713.00
2019,12,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",62.00,18.00,4.10,0.00,4.33,0.00,9.57,1.00,0.00,746.00,253.00,0.00,124.00,0.00,369.00
2019,12,DL,Delta Air Lines Network,MCI,"Kansas City, MO: Kansas City International",585.00,62.00,23.24,2.04,20.94,0.00,15.79,0.00,0.00,2557.00,1017.00,130.00,711.00,0.00,699.00
2019,12,EV,ExpressJet Airlines LLC,MCI,"Kansas City, MO: Kansas City International",57.00,10.00,5.39,1.00,1.93,0.00,1.69,0.00,0.00,781.00,532.00,61.00,74.00,0.00,114.00
2019,12,F9,Frontier Airlines,MCI,"Kansas City, MO: Kansas City International",27.00,5.00,1.14,0.00,1.22,0.00,2.64,0.00,0.00,318.00,79.00,0.00,28.00,0.00,211.00
2019,12,G4,Allegiant Air,MCI,"Kansas City, MO: Kansas City International",9.00,1.00,0.00,0.00,0.88,0.00,0.12,0.00,0.00,26.00,0.00,0.00,23.00,0.00,3.00
2019,12,G7,GoJet Airlines LLC d/b/a United Express,MCI,"Kansas City, MO: Kansas City International",5.00,2.00,0.10,0.00,1.00,0.00,0.90,0.00,0.00,75.00,3.00,0.00,44.00,0.00,28.00
2019,12,MQ,Envoy Air,MCI,"Kansas City, MO: Kansas City International",73.00,16.00,4.74,1.16,3.57,0.00,6.54,0.00,0.00,699.00,194.00,54.00,140.00,0.00,311.00
2019,12,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",111.00,9.00,1.89,0.00,2.26,0.00,4.85,0.00,0.00,772.00,148.00,0.00,62.00,0.00,562.00
